time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:36:36.615,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:36.615,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:36.759,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC700000332000D840100
Oct 29 21:36:36.765,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:36.802,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:36.804,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC700000332000D840100
Oct 29 21:36:36.877,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:36.878,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:36.879,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC700000332000D840100
Oct 29 21:36:36.952,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:37.027,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:37.140,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:37.252,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:37.365,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:37.477,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:37.627,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:37.740,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:37.852,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:37.965,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:38.077,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:38.227,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:38.340,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:38.452,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:38.565,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
