time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:52:13.350,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.358,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,94180000000000000000000000000000
Oct 29 21:52:13.425,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.428,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,98180000000000000000000000000000
Oct 29 21:52:13.463,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:13.500,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.508,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,9C180000000000000000000000000000
Oct 29 21:52:13.575,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.575,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:13.577,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,A0180000000000000000000000000000
Oct 29 21:52:13.650,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.657,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,A4180000000000000000000000000000
Oct 29 21:52:13.688,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:13.725,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.727,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,A8180000000000000000000000000000
Oct 29 21:52:13.800,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.801,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:13.808,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,AC180000000000000000000200000000
Oct 29 21:52:13.875,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.884,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,B018800000000008FE000011FD000008
Oct 29 21:52:13.913,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:13.950,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.954,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,B418F8E1EC0F86FA1A000017F200002F
Oct 29 21:52:14.025,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:14.026,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,B8180017F200FA7BAE0F85248A000027
Oct 29 21:52:14.063,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:14.100,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
