time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 22:07:41.259,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,026C0400000000000000000000000000
Oct 29 22:07:41.296,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:41.333,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.336,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,032A03000005563000000000000000E9
Oct 29 22:07:41.408,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.408,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:41.409,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,030105000000
Oct 29 22:07:41.483,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.486,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,002500800000002600000000
Oct 29 22:07:41.521,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:41.558,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.560,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000AC80000000000
Oct 29 22:07:41.633,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.633,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:41.636,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0400000000
Oct 29 22:07:41.783,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.783,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:41.785,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,001800000FFD00000000000000000000
